id,price,moonRank,rank,💎 score,background,skin,hair,mouth,eyes,eyebrows,clothes,headAccessory,faceAccessory,glasses,rarityURL,solanartURL
4,1,1157,3342,1246,Pastel,Black,Ponytail Black,Pink Fangs,Blue,Arched,Tank Top,Mushrooms,Bandaids,,https://gloom-rarity-page.vercel.app/punk/4,https://solanart.io/search/?token=8dvULYihziWt7cd63UxnHuCGuieuMR6xiXY5YN8LkU15
24,2,8287,8406,8476,Grey,White,Bob Brown,Pink,Teal,Small,Bandages,Helix Hat,,,https://gloom-rarity-page.vercel.app/punk/24,https://solanart.io/search/?token=5FuNMFg6wGvheDE83T6dPhcQKnnMXTkRVyQVSw9qasPG
29,2,5634,8154,5823,Grey,Black,Ponytail Black,Pink Fangs,Blue,Small,Turtleneck,,Facemask,,https://gloom-rarity-page.vercel.app/punk/29,https://solanart.io/search/?token=8UBMicytUKimZFg5g2a6RqouSKd1GSjkCyWyY5oU87c2
31,10,2896,4308,3885,Grey,Black,Bob Brown,Pink Fangs,Purple,Thin,Turtleneck,,,Glasses Solana,https://gloom-rarity-page.vercel.app/punk/31,https://solanart.io/search/?token=q1iKZMeHkUNLStR3dTuVSsg2RJeTDbGwLuMMEEghjCN
32,69,2649,1033,9538,Blue,White,Ponytail Black,Pink,Blue,Small,Naked,,,Glasses Solana,https://gloom-rarity-page.vercel.app/punk/32,https://solanart.io/search/?token=G3zpejmEmTgbsVrGxEcpfZJKqK9WkZnHuPCzNPNKUZtY
44,0.3,3711,4339,3730,Grey,White,Ponytail Black,Pink,Purple,Arched,Tshirt,,Facemask,Glasses Solana,https://gloom-rarity-page.vercel.app/punk/44,https://solanart.io/search/?token=FphQFdQTHbpLVDYyg4kNP9Gu2Go9qVLuqbi7quY3hfvt
54,3.9,5220,5505,5599,Grey,White,Bob Brown,Black Fangs,Teal,Thin,Tank Top,Horns,,,https://gloom-rarity-page.vercel.app/punk/54,https://solanart.io/search/?token=7PQ2TQCCDNVCwiEE3bBZCAJxMRzj4XZKUuCoqV9L23Y
58,0.69,1832,1903,1890,Grey,White,Bob White,Pink,Blue,Thin,Turtleneck,Butterflies,,Monocle Solana,https://gloom-rarity-page.vercel.app/punk/58,https://solanart.io/search/?token=8QGFfZPQZV9mva2AfhsXsfZz1Rcw4T23EeoRM8UNvPd
71,0.6,2165,1507,2214,Yellow,White,Ponytail Brown,Black Fangs,Teal,Arched,Tank Top,,Gasmask Pink,,https://gloom-rarity-page.vercel.app/punk/71,https://solanart.io/search/?token=D6RKWV5gY5qTXAZRe9XdrehE25VkWnw15xAMp7sfV6gE
97,0.82,7310,7165,7381,Blue,White,Bob Brown,Pink,Teal,Thin,Bandages,Horns,,,https://gloom-rarity-page.vercel.app/punk/97,https://solanart.io/search/?token=FD43h4jiiSt4wHzZcbCVoH7xktLYzeRNDmq6cFCsaFS4
104,1.95,3423,4037,3607,Yellow Flat,Cyborg,Bob Black,Pink,Purple,Small,Tank Top,,Facemask,,https://gloom-rarity-page.vercel.app/punk/104,https://solanart.io/search/?token=5jHbUxNdS8DnU7kYnw2413ZoNvzLzMyTD2LnwfgiBnCo
105,0.6,7372,3720,7421,Green,White,Bob Black,Pink,Teal,Small,Tshirt,,,Glasses Regular,https://gloom-rarity-page.vercel.app/punk/105,https://solanart.io/search/?token=74BgkT4yu5NPnKxzww42xWob8s4HZihRxb7ZxEUJkQM4
107,0.3,6612,5189,6631,Purple Flat,White,Bob Black,Gold,Blue,Small,Tank Top,,,,https://gloom-rarity-page.vercel.app/punk/107,https://solanart.io/search/?token=BUuTAJjF5kXV331eVJW5fPCKq7dvpSr64eH7HyuScGXH
113,0.11,5320,6425,5320,Beige,Black,Bob Brown,Pink,Teal,Scar,Tank Top,,,Monocle Solana,https://gloom-rarity-page.vercel.app/punk/113,https://solanart.io/search/?token=NHKXvP4iVx1BFwPcHyBUzVEgEBqaDn4FVur83wDrdZ6
117,29,66,436,2955,Green,Blue,Ponytail Brown,Pink Fangs,White,Arched,Tank Top,Mushrooms,Gasmask Teal,,https://gloom-rarity-page.vercel.app/punk/117,https://solanart.io/search/?token=8Yob1iNQs4MCiAPbGjATfSJ99LsQKPakP6yP9eWPkjwM
119,8,4314,3197,5103,Purple,Blue,Bob Teal,Pink,Blue,Arched,Turtleneck,,,,https://gloom-rarity-page.vercel.app/punk/119,https://solanart.io/search/?token=ErFYfq1tnV8GeCmSjiGvjejjK7w3K9E3zYb7mLhVYyTF
